State,County,Year,EV_Count,Population,Charging_Station_Sites,Charging_Ports,DC_Fast_Ports,Level2_Ports,EV_per_Station,EV_per_Port,Stations_per_10k_People,Ports_per_10k_People,EV_per_10k_People
CO,KIOWA,2021,15.0,1452.0,0.0,0.0,0.0,0.0,,,0.0,0.0,103.30578512396694
CO,KIOWA,2022,49.0,1429.0,0.0,0.0,0.0,0.0,,,0.0,0.0,342.89713086074175
CO,KIOWA,2023,82.0,1375.0,0.0,0.0,0.0,0.0,,,0.0,0.0,596.3636363636364
CO,KIOWA,2024,70.0,1403.0,0.0,0.0,0.0,0.0,,,0.0,0.0,498.93086243763366
CO,KIT CARSON,2020,71.0,7062.0,1.0,2.0,0.0,2.0,71.0,35.5,1.416029453412631,2.832058906825262,100.5380911922968
CO,KIT CARSON,2021,118.0,6930.0,2.0,6.0,4.0,2.0,59.0,19.666666666666668,2.886002886002886,8.658008658008658,170.27417027417027
CO,KIT CARSON,2022,129.0,7000.0,2.0,6.0,4.0,2.0,64.5,21.5,2.857142857142857,8.571428571428571,184.2857142857143
CO,KIT CARSON,2023,232.0,7000.0,6.0,10.0,8.0,2.0,38.666666666666664,23.2,8.571428571428571,14.285714285714286,331.4285714285714
CO,KIT CARSON,2024,267.0,7027.0,7.0,16.0,14.0,2.0,38.142857142857146,16.6875,9.961576775295288,22.769318343532092,379.9629998576918
CO,LA PLATA,2020,2543.0,55679.0,8.0,17.0,0.0,17.0,317.875,149.58823529411765,1.4368074139262557,3.053215754593294,456.7251567018086
CO,LA PLATA,2021,3929.0,56164.0,18.0,37.0,0.0,37.0,218.27777777777777,106.1891891891892,3.204899935902001,6.587849868243003,699.5584360088312
CO,LA PLATA,2022,5956.0,56576.0,21.0,42.0,0.0,42.0,283.6190476190476,141.8095238095238,3.7118212669683257,7.423642533936651,1052.7432126696833
CO,LA PLATA,2023,8011.0,56408.0,31.0,58.0,4.0,54.0,258.4193548387097,138.1206896551724,5.495674372429443,10.282229470997022,1420.1886257268472
CO,LA PLATA,2024,12020.0,56930.0,34.0,66.0,8.0,58.0,353.52941176470586,182.12121212121212,5.972246618654488,11.59318461268224,2111.3648340066748
CO,LAKE,2020,149.0,7409.0,1.0,1.0,0.0,1.0,149.0,149.0,1.3497098123903362,1.3497098123903362,201.1067620461601
CO,LAKE,2021,243.0,7404.0,2.0,3.0,0.0,3.0,121.5,81.0,2.7012425715829282,4.051863857374392,328.20097244732574
CO,LAKE,2022,342.0,7387.0,4.0,6.0,1.0,5.0,85.5,57.0,5.414918099363748,8.12237714904562,462.9754974956004
CO,LAKE,2023,617.0,7424.0,4.0,6.0,1.0,5.0,154.25,102.83333333333333,5.387931034482759,8.081896551724137,831.0883620689655
CO,LAKE,2024,1165.0,7471.0,5.0,8.0,1.0,7.0,233.0,145.625,6.692544505420961,10.708071208673537,1559.362869763084
CO,LARIMER,2020,29007.0,359942.0,53.0,134.0,19.0,115.0,547.3018867924528,216.47014925373134,1.4724594518005678,3.7228220102127567,805.8798361958316
CO,LARIMER,2021,41396.0,362865.0,74.0,174.0,25.0,149.0,559.4054054054054,237.90804597701148,2.039325920108029,4.795171758091852,1140.8099430917835
CO,LARIMER,2022,57310.0,367972.0,90.0,207.0,27.0,180.0,636.7777777777778,276.85990338164254,2.445838270303175,5.625428021697304,1557.4554585674996
CO,LARIMER,2023,78983.0,371192.0,123.0,266.0,40.0,226.0,642.1382113821138,296.92857142857144,3.3136490010560573,7.166102717730986,2127.820642686265
CO,LARIMER,2024,121145.0,374200.0,135.0,288.0,42.0,246.0,897.3703703703703,420.6423611111111,3.6076964190272585,7.69641902725815,3237.43987172635
CO,LAS ANIMAS,2020,147.0,14491.0,3.0,15.0,13.0,2.0,49.0,9.8,2.0702505003105376,10.351252501552686,101.44227451521635
CO,LAS ANIMAS,2021,218.0,14335.0,3.0,15.0,13.0,2.0,72.66666666666667,14.533333333333333,2.0927799093128705,10.463899546564353,152.07534007673527
CO,LAS ANIMAS,2022,351.0,14299.0,4.0,17.0,13.0,4.0,87.75,20.647058823529413,2.7973984194698933,11.888943282747045,245.47171130848312
CO,LAS ANIMAS,2023,504.0,14389.0,5.0,23.0,13.0,10.0,100.8,21.91304347826087,3.4748766418792134,15.98443255264438,350.2675655014247
CO,LAS ANIMAS,2024,901.0,14511.0,5.0,23.0,13.0,10.0,180.2,39.17391304347826,3.4456619116532288,15.850044793604852,620.9082764799117
CO,LINCOLN,2020,46.0,5666.0,1.0,14.0,14.0,0.0,46.0,3.2857142857142856,1.7649135192375573,24.708789269325802,81.18602188492764
CO,LINCOLN,2021,12.0,5470.0,1.0,14.0,14.0,0.0,12.0,0.8571428571428571,1.8281535648994516,25.59414990859232,21.937842778793417
